Date,Open,High,Low,Close,Adj Close,Volume,RSI,Stochastic,MACD,MACD_Signal,EMA,ATR,ROC,OBV,AccDist,PSAR
2022-03-16,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,0,44.92245487019637,0.0,-0.0007179319181709332,0.0012120564161921385,9.887570742751338,0.010608820933337862,-0.10111454534566931,6950100.0,-5312758.213212689,9.862318096439703
2022-03-17,9.880000114440918,9.890000343322754,9.880000114440918,9.890000343322754,9.890000343322754,11100,51.70445004601929,50.002384244909635,-0.000393530480602422,0.0008909390368332265,9.887802133281948,0.010565350072516296,-0.1010027837658038,6961200.0,-5301658.213212689,9.863071726881515
2022-03-18,9.890000343322754,9.890000343322754,9.869999885559082,9.890000343322754,9.890000343322754,32800,51.70445004601929,66.66878596178911,-0.00013488513230264232,0.0006857742030060527,9.888011486619167,0.011239286336170265,-0.1010027837658038,6961200.0,-5268858.213212689,9.86381028471449
2022-03-21,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,2000,45.243342752173454,33.334392980894556,-0.0007284446689972413,0.0004029304286053939,9.887248498792667,0.011150782232289241,-0.20201520060588182,6959200.0,-5268858.213212689,9.864534071390805
2022-03-22,9.890000343322754,9.890000343322754,9.869999885559082,9.880000114440918,9.880000114440918,25500,45.243342752173454,33.334392980894556,-0.0011851828282996024,8.530777722439464e-05,9.886558176473454,0.011782901913102287,-0.10111454534566931,6959200.0,-5268858.213212689,9.865243382333595
2022-03-23,9.864999771118164,9.864999771118164,9.859999656677246,9.859999656677246,9.859999656677246,400,35.07634503988912,0.0,-0.0031249978706870962,-0.0005567533523579035,9.88402879363572,0.01236987018814297,-0.40404003428603796,6958800.0,-5269258.213212689,9.899999618530273
2022-03-24,9.859999656677246,9.869999885559082,9.859999656677246,9.869999885559082,9.869999885559082,600,42.0842674194102,25.000596047016188,-0.003811444413370779,-0.0012076915645604785,9.88269270715223,0.012200610094835324,-0.10121689034415383,6959400.0,-5268658.213212689,9.899199619293213
2022-03-25,9.869999885559082,9.890000343322754,9.869999885559082,9.869999885559082,9.869999885559082,9400,42.08426741941021,33.333333333333336,-0.0043058233922455,-0.001827317930097483,9.881483867000503,0.012757742071180791,-0.10121689034415383,6959400.0,-5278058.213212689,9.898415620040893
2022-03-28,9.869999885559082,9.869999885559082,9.869999885559082,9.869999885559082,9.869999885559082,0,42.08426741941021,33.333333333333336,-0.0046440881376046406,-0.0023906719715989146,9.880390154482273,0.011846474780382163,-0.10121689034415383,6959400.0,-5278058.213212689,9.89764730077362
2022-03-29,9.880000114440918,9.890000343322754,9.880000114440918,9.890000343322754,9.890000343322754,1200,54.38381928404446,100.0,-0.0032607081804556515,-0.0025646792133702623,9.881305410562318,0.012428902136331427,0.0,6960600.0,-5276858.213212689,9.896894347891692
2022-03-30,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,400,48.803046336646794,66.66666666666667,-0.002937443473200574,-0.0026392320653363245,9.881181096645994,0.012255425475296036,-0.10111454534566931,6960200.0,-5276858.213212689,9.896156454067404
2022-03-31,9.850000381469727,9.880000114440918,9.850000381469727,9.880000114440918,9.880000114440918,4900,48.803046336646794,74.99940395298381,-0.002650698264117679,-0.0026415253050925958,9.881068622150272,0.013522876010717133,0.0,6960200.0,-5271958.213212689,9.8954333181196
2022-04-01,9.890000343322754,9.890000343322754,9.880000114440918,9.888999938964844,9.888999938964844,4400,53.7560952413903,97.49898672007248,-0.0016778982292926514,-0.002448799889932607,9.881823985656421,0.013271258358654192,0.0910913402801621,6964600.0,-5268438.548898365,9.893616000653605
2022-04-04,9.890000343322754,9.890000343322754,9.880000114440918,9.880000114440918,9.880000114440918,700,48.68387272518342,74.99940395298381,-0.0016145463323571363,-0.0022819491784175127,9.881650283635897,0.013037613396024317,-0.10111454534566931,6963900.0,-5269138.548898365,9.89187137588625
2022-04-05,9.890000343322754,9.890000343322754,9.885000228881836,9.885000228881836,9.885000228881836,2800,51.42610416698348,87.4997019764919,-0.0011476427388164012,-0.0020550878904972906,9.881969326040274,0.012820657359296576,-0.050557272672834656,6966700.0,-5271938.548898365,9.89019653610959
2022-04-06,9.890000343322754,9.890000343322754,9.880000114440918,9.880000114440918,9.880000114440918,3000,48.627650002667274,74.99940395298381,-0.0011676260583808329,-0.0018775955240739992,9.88178178207843,0.012619198182335102,0.0,6963700.0,-5274938.548898365,9.850000381469727
2022-04-07,9.890000343322754,9.890000343322754,9.890000343322754,9.890000343322754,9.890000343322754,6400,54.0171129110772,100.0,-0.00037223716936374274,-0.001576523853131948,9.882564502196937,0.012432128946585162,0.10121689034415383,6970100.0,-5274938.548898365,9.850800380706787
2022-04-08,9.890000343322754,9.890000343322754,9.890000343322754,9.890000343322754,9.890000343322754,400,54.0171129110772,100.0,0.00025517278265141385,-0.0012101845259752757,9.883272677542251,0.011544119736114794,0.3042666094333095,6970100.0,-5274938.548898365,9.851584379959107
2022-04-11,9.880000114440918,9.890000343322754,9.880000114440918,9.880000114440918,9.880000114440918,229800,48.15773542766209,74.99940395298381,-5.3913721673737314e-05,-0.000978930365114968,9.882961004865933,0.01143384181795202,0.1013194427334026,6740300.0,-5504738.548898365,9.85235269922638
